type,timestamp,positions
CONTROL,6.190035492181778,"[-0.15, -0.051, 0.548, 0.147, 0.054, 0.455]"
CONTROL,20108.584023546427,"[-0.147, -0.048, 0.551, 0.15, 0.051, 0.452]"
CONTROL,40183.75801388174,"[-0.144, -0.045, 0.554, 0.147, 0.048, 0.449]"
CONTROL,60260.66199410707,"[-0.141, -0.042, 0.557, 0.144, 0.045, 0.446]"
CONTROL,80329.98599810526,"[-0.138, -0.039, 0.56, 0.141, 0.042, 0.443]"
CONTROL,100409.27003137767,"[-0.135, -0.036, 0.563, 0.138, 0.039, 0.44]"
CONTROL,120483.33400161937,"[-0.132, -0.033, 0.566, 0.135, 0.036, 0.437]"
CONTROL,140564.6780040115,"[-0.129, -0.03, 0.569, 0.132, 0.033, 0.434]"
CONTROL,160639.30204836652,"[-0.126, -0.027, 0.572, 0.129, 0.03, 0.431]"
CONTROL,180709.29602254182,"[-0.123, -0.024, 0.575, 0.126, 0.027, 0.428]"
CONTROL,200781.98000555858,"[-0.12, -0.021, 0.578, 0.123, 0.024, 0.425]"
CONTROL,220854.084007442,"[-0.117, -0.018, 0.581, 0.12, 0.021, 0.422]"
CONTROL,240931.14800052717,"[-0.114, -0.015, 0.584, 0.117, 0.018, 0.419]"
CONTROL,261004.41202288494,"[-0.111, -0.012, 0.587, 0.114, 0.015, 0.416]"
CONTROL,281078.6060290411,"[-0.108, -0.009, 0.59, 0.111, 0.012, 0.413]"
CONTROL,301100.40004365146,"[-0.105, -0.006, 0.593, 0.108, 0.009, 0.41]"
CONTROL,321168.3740373701,"[-0.102, -0.003, 0.596, 0.105, 0.006, 0.407]"
CONTROL,341240.2180256322,"[-0.099, 0.0, 0.599, 0.102, 0.003, 0.404]"
CONTROL,361310.90199342,"[-0.096, 0.003, 0.602, 0.099, 0.0, 0.401]"
CONTROL,381380.17599703744,"[-0.093, 0.006, 0.605, 0.096, -0.003, 0.398]"
CONTROL,401451.7409959808,"[-0.09, 0.009, 0.608, 0.093, -0.006, 0.395]"
CONTROL,421524.00402119383,"[-0.087, 0.012, 0.611, 0.09, -0.009, 0.392]"
CONTROL,441593.80899509415,"[-0.084, 0.015, 0.614, 0.087, -0.012, 0.389]"
CONTROL,461667.78303449973,"[-0.081, 0.018, 0.617, 0.084, -0.015, 0.386]"
CONTROL,481737.5970305875,"[-0.078, 0.021, 0.62, 0.081, -0.018, 0.383]"
CONTROL,501806.2610179186,"[-0.075, 0.024, 0.623, 0.078, -0.021, 0.38]"
CONTROL,521875.1550419256,"[-0.072, 0.027, 0.626, 0.075, -0.024, 0.377]"
CONTROL,541944.6890009567,"[-0.069, 0.03, 0.629, 0.072, -0.027, 0.374]"
CONTROL,562012.1730025858,"[-0.066, 0.033, 0.632, 0.069, -0.03, 0.371]"
CONTROL,582083.0269949511,"[-0.063, 0.036, 0.635, 0.066, -0.033, 0.368]"
CONTROL,602098.7210213207,"[-0.06, 0.039, 0.638, 0.063, -0.036, 0.365]"
CONTROL,622169.7150031105,"[-0.057, 0.042, 0.641, 0.06, -0.039, 0.362]"
CONTROL,642235.2190129459,"[-0.054, 0.045, 0.644, 0.057, -0.042, 0.359]"
CONTROL,662304.8830078915,"[-0.051, 0.048, 0.647, 0.054, -0.045, 0.356]"
CONTROL,682374.6570153162,"[-0.048, 0.051, 0.65, 0.051, -0.048, 0.353]"
CONTROL,702447.7110244334,"[-0.045, 0.054, 0.647, 0.048, -0.051, 0.35]"
CONTROL,722517.7850341424,"[-0.042, 0.057, 0.644, 0.045, -0.054, 0.353]"
CONTROL,742591.7090149596,"[-0.039, 0.06, 0.641, 0.042, -0.057, 0.356]"
CONTROL,762661.4220207557,"[-0.036, 0.063, 0.638, 0.039, -0.06, 0.359]"
CONTROL,782729.366037529,"[-0.033, 0.066, 0.635, 0.036, -0.063, 0.362]"
CONTROL,802795.3800046816,"[-0.03, 0.069, 0.632, 0.033, -0.066, 0.365]"
CONTROL,822864.1040041111,"[-0.027, 0.072, 0.629, 0.03, -0.069, 0.368]"
CONTROL,842929.9280396663,"[-0.024, 0.075, 0.626, 0.027, -0.072, 0.371]"
CONTROL,862998.1720005162,"[-0.021, 0.078, 0.623, 0.024, -0.075, 0.374]"
CONTROL,883070.0460239314,"[-0.018, 0.081, 0.62, 0.021, -0.078, 0.377]"
CONTROL,903100.5800352432,"[-0.015, 0.084, 0.617, 0.018, -0.081, 0.38]"
CONTROL,923174.6740406379,"[-0.012, 0.087, 0.614, 0.015, -0.084, 0.383]"
CONTROL,943258.7680057622,"[-0.009, 0.09, 0.611, 0.012, -0.087, 0.386]"
CONTROL,963331.722014118,"[-0.006, 0.093, 0.608, 0.009, -0.09, 0.389]"
CONTROL,983405.6260297075,"[-0.003, 0.096, 0.605, 0.006, -0.093, 0.392]"
CONTROL,1003476.670011878,"[0.0, 0.099, 0.602, 0.003, -0.096, 0.395]"
CONTROL,1023575.3440065309,"[0.003, 0.102, 0.599, 0.0, -0.099, 0.398]"
CONTROL,1043646.0880446248,"[0.006, 0.105, 0.596, -0.003, -0.102, 0.401]"
CONTROL,1063717.6310410723,"[0.009, 0.108, 0.593, -0.006, -0.105, 0.404]"
CONTROL,1083790.515025612,"[0.012, 0.111, 0.59, -0.009, -0.108, 0.407]"
CONTROL,1103861.1590047367,"[0.015, 0.114, 0.587, -0.012, -0.111, 0.41]"
CONTROL,1123931.4030390233,"[0.018, 0.117, 0.584, -0.015, -0.114, 0.413]"
CONTROL,1143999.527033884,"[0.021, 0.12, 0.581, -0.018, -0.117, 0.416]"
CONTROL,1164069.3710069172,"[0.024, 0.123, 0.578, -0.021, -0.12, 0.419]"
CONTROL,1184140.4550359584,"[0.027, 0.126, 0.575, -0.024, -0.123, 0.422]"
CONTROL,1204209.3390482478,"[0.03, 0.129, 0.572, -0.027, -0.126, 0.425]"
CONTROL,1224278.0230008066,"[0.033, 0.132, 0.569, -0.03, -0.129, 0.428]"
CONTROL,1244357.5370125473,"[0.036, 0.135, 0.566, -0.033, -0.132, 0.431]"
CONTROL,1264433.671021834,"[0.039, 0.138, 0.563, -0.036, -0.135, 0.434]"
CONTROL,1284509.4150397927,"[0.042, 0.141, 0.56, -0.039, -0.138, 0.437]"
CONTROL,1304581.8990212865,"[0.045, 0.144, 0.557, -0.042, -0.141, 0.44]"
CONTROL,1324654.87299487,"[0.048, 0.147, 0.554, -0.045, -0.144, 0.443]"
CONTROL,1344727.0570322871,"[0.051, 0.15, 0.551, -0.048, -0.147, 0.446]"
CONTROL,1364793.9800284803,"[0.054, 0.147, 0.548, -0.051, -0.15, 0.449]"
CONTROL,1384870.4940173775,"[0.057, 0.144, 0.545, -0.054, -0.147, 0.452]"
CONTROL,1404944.9580488726,"[0.06, 0.141, 0.542, -0.057, -0.144, 0.455]"
CONTROL,1425017.032015603,"[0.063, 0.138, 0.539, -0.06, -0.141, 0.458]"
CONTROL,1445092.9160229862,"[0.066, 0.135, 0.536, -0.063, -0.138, 0.461]"
CONTROL,1465168.2700496167,"[0.069, 0.132, 0.533, -0.066, -0.135, 0.464]"
CONTROL,1485239.3740438856,"[0.072, 0.129, 0.53, -0.069, -0.132, 0.467]"
CONTROL,1505313.7080394663,"[0.075, 0.126, 0.527, -0.072, -0.129, 0.47]"
CONTROL,1525389.0320309438,"[0.078, 0.123, 0.524, -0.075, -0.126, 0.473]"
CONTROL,1545466.2760021165,"[0.081, 0.12, 0.521, -0.078, -0.123, 0.476]"
CONTROL,1565539.1800100915,"[0.084, 0.117, 0.518, -0.081, -0.12, 0.479]"
CONTROL,1585611.2040346488,"[0.087, 0.114, 0.515, -0.084, -0.117, 0.482]"
CONTROL,1605684.8680018447,"[0.09, 0.111, 0.512, -0.087, -0.114, 0.485]"
CONTROL,1625756.8310247734,"[0.093, 0.108, 0.509, -0.09, -0.111, 0.488]"
CONTROL,1645829.0250157006,"[0.096, 0.105, 0.506, -0.093, -0.108, 0.491]"
