type,timestamp,positions,velocities,torques
STATE_MOTOR,6.190035492181778,"[-0.14342720366730743, -0.03988350048502667, 0.6327670750028269, 0.14419419406125028, 0.045252433242626414, 0.4577836411609499]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.091256, 0.068442, 2.190144, 0.0, 0.045628, 0.0]"
STATE_MOTOR,20108.584023546427,"[-0.14342720366730743, -0.03988350048502667, 0.6327670750028269, 0.14419419406125028, 0.045252433242626414, 0.4577836411609499]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.068442, 2.190144, 0.0, 0.045628, 0.501908]"
STATE_MOTOR,40183.75801388174,"[-0.14342720366730743, -0.03988350048502667, 0.6327670750028269, 0.14419419406125028, 0.045252433242626414, 0.4571240105540897]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 2.030446, 0.045628, 0.022814, 0.250954]"
STATE_MOTOR,60260.66199410707,"[-0.14342720366730743, -0.03988350048502667, 0.6327670750028269, 0.14572817484913592, 0.045252433242626414, 0.4558047493403694]","[0.0, 0.0, 0.0, 0.07669903939428206, 0.0, -0.15339807878856412]","[0.0, 0.0, 1.962004, 0.022814, 0.0, 0.068442]"
STATE_MOTOR,80329.98599810526,"[-0.14342720366730743, -0.03834951969714103, 0.6327670750028269, 0.14572817484913592, 0.045252433242626414, 0.45382585751978893]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.0, 0.0, 1.8935620000000002, 0.0, 0.0, 0.524722]"
STATE_MOTOR,100409.27003137767,"[-0.14342720366730743, -0.03681553890925539, 0.6327670750028269, 0.14572817484913592, 0.045252433242626414, 0.45184696569920846]","[0.0, 0.07669903939428206, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.022814, 0.0, 1.59698, 0.068442, 0.022814, 0.273768]"
STATE_MOTOR,120483.33400161937,"[-0.14342720366730743, -0.0337475773334841, 0.6327670750028269, 0.14572817484913592, 0.045252433242626414, 0.449868073878628]","[0.0, 0.07669903939428206, 0.0, 0.0, 0.0, -0.30679615757712825]","[0.205326, 0.0, 1.59698, 0.045628, 0.045628, 0.068442]"
STATE_MOTOR,140564.6780040115,"[-0.14342720366730743, -0.02914563496982718, 0.6327670750028269, 0.14572817484913592, 0.045252433242626414, 0.4472295514511873]","[0.0, 0.23009711818284617, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.136884, 0.045628, 1.5285380000000002, 0.136884, 0.068442, 0.433466]"
STATE_MOTOR,160639.30204836652,"[-0.14342720366730743, -0.026077673394055898, 0.6327670750028269, 0.14419419406125028, 0.045252433242626414, 0.4445910290237467]","[0.0, 0.23009711818284617, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.136884, 0.022814, 1.2547700000000002, 0.091256, 0.091256, 0.22814]"
STATE_MOTOR,180709.29602254182,"[-0.14342720366730743, -0.023009711818284616, 0.6327670750028269, 0.14419419406125028, 0.045252433242626414, 0.4426121372031662]","[0.0, 0.15339807878856412, 0.0, -0.07669903939428206, 0.0, -0.30679615757712825]","[0.205326, 0.0, 1.231956, 0.091256, 0.136884, 0.11407]"
