type,timestamp,positions
CONTROL,5.530018825083971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20118.609012570232,"[0.0048, 0.00576, 0.50672, 0.00768, 0.00864, 0.5096]"
CONTROL,40193.398017436266,"[0.0096, 0.01152, 0.51344, 0.01536, 0.01728, 0.5192]"
CONTROL,60263.91702471301,"[0.0144, 0.01728, 0.52016, 0.02304, 0.02592, 0.5288]"
CONTROL,80342.79500134289,"[0.0192, 0.02304, 0.52688, 0.03072, 0.03456, 0.5384]"
CONTROL,100418.87400439009,"[0.024, 0.0288, 0.5336, 0.0384, 0.0368, 0.532]"
CONTROL,120500.26300130412,"[0.0288, 0.03456, 0.53968, 0.03392, 0.02816, 0.5224]"
CONTROL,140578.6820105277,"[0.0336, 0.03968, 0.53296, 0.02624, 0.01952, 0.5128]"
CONTROL,160660.42002057657,"[0.0384, 0.03392, 0.52624, 0.01856, 0.01088, 0.5032]"
CONTROL,180745.3390210867,"[0.0368, 0.02816, 0.51952, 0.01088, 0.00224, 0.4936]"
CONTROL,200817.13801482692,"[0.032, 0.0224, 0.5128, 0.0032, -0.0064, 0.484]"
CONTROL,220888.56698246673,"[0.0272, 0.01664, 0.50608, -0.00448, -0.01504, 0.4744]"
CONTROL,240965.48499073833,"[0.0224, 0.01088, 0.49936, -0.01216, -0.02368, 0.4648]"
CONTROL,261040.0440171361,"[0.0176, 0.00512, 0.49264, -0.01984, -0.03232, 0.4648]"
CONTROL,281113.6730015278,"[0.0128, -0.00064, 0.48592, -0.02752, -0.03904, 0.4744]"
CONTROL,301183.12197737396,"[0.008, -0.0064, 0.4792, -0.0352, -0.0304, 0.484]"
CONTROL,321263.2699869573,"[0.0032, -0.01216, 0.47248, -0.03712, -0.02176, 0.4936]"
CONTROL,341342.63900341466,"[-0.0016, -0.01792, 0.46576, -0.02944, -0.01312, 0.5032]"
CONTROL,361414.06797105446,"[-0.0064, -0.02368, 0.46096, -0.02176, -0.00448, 0.5128]"
CONTROL,381485.3369840421,"[-0.0112, -0.02944, 0.46768, -0.01408, 0.00416, 0.5224]"
CONTROL,401559.22598205507,"[-0.016, -0.0352, 0.4744, -0.0064, 0.0128, 0.532]"
CONTROL,421638.9040229842,"[-0.0208, -0.03904, 0.48112, 0.00128, 0.02144, 0.5384]"
CONTROL,441714.5830229856,"[-0.0256, -0.03328, 0.48784, 0.00896, 0.03008, 0.5288]"
CONTROL,461785.58201063424,"[-0.0304, -0.02752, 0.49456, 0.01664, 0.03872, 0.5192]"
CONTROL,481847.81102463603,"[-0.0352, -0.02176, 0.50128, 0.02432, 0.03264, 0.5096]"
CONTROL,501921.8489760533,"[-0.04, -0.016, 0.508, 0.032, 0.024, 0.5]"
CONTROL,521992.5279961899,"[-0.0352, -0.01024, 0.51472, 0.03968, 0.01536, 0.4904]"
CONTROL,542065.9270021133,"[-0.0304, -0.00448, 0.52144, 0.03264, 0.00672, 0.4808]"
CONTROL,562143.8159723766,"[-0.0256, 0.00128, 0.52816, 0.02496, -0.00192, 0.4712]"
