type,timestamp,positions,velocities,torques
STATE_MOTOR,5.530018825083971,"[-0.006902913545485385, 0.01380582709097077, 0.5790777474268295, 0.0, 0.008436894333371026, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.93919, 0.0, 0.068442, 0.0]"
STATE_MOTOR,20118.609012570232,"[-0.006902913545485385, 0.01380582709097077, 0.5790777474268295, 0.0, 0.008436894333371026, 0.4967018469656992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.93919, 0.0, 0.068442, 0.296582]"
STATE_MOTOR,40193.398017436266,"[-0.006902913545485385, 0.01380582709097077, 0.5790777474268295, 0.0, 0.008436894333371026, 0.4980211081794195]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.159698, 0.091256, 1.505724, 0.0, 0.205326, 0.159698]"
STATE_MOTOR,60263.91702471301,"[-0.006902913545485385, 0.01687378866674205, 0.5790777474268295, 0.0046019423636569235, 0.008436894333371026, 0.5019788918205804]","[0.0, 0.07669903939428206, 0.0, 0.07669903939428206, 0.0, 0.30679615757712825]","[0.182512, 0.11407, 1.323212, 0.0, 0.11407, 0.730048]"
STATE_MOTOR,80342.79500134289,"[-0.005368932757599744, 0.018407769454627694, 0.5790777474268295, 0.007669903939428206, 0.009970875121256667, 0.5065963060686016]","[0.07669903939428206, 0.07669903939428206, 0.0, 0.23009711818284617, 0.0, 0.46019423636569234]","[0.11407, 0.045628, 1.2547700000000002, 0.11407, 0.707234, 0.479094]"
STATE_MOTOR,100418.87400439009,"[-0.003834951969714103, 0.02454369260617026, 0.5790777474268295, 0.01380582709097077, 0.01457281748491359, 0.512532981530343]","[0.07669903939428206, 0.23009711818284617, 0.0, 0.15339807878856412, 0.15339807878856412, 0.6135923151542565]","[0.319396, 0.068442, 0.889746, 0.068442, 0.34221, 0.250954]"
STATE_MOTOR,120500.26300130412,"[-0.0007669903939428206, 0.0337475773334841, 0.5790777474268295, 0.018407769454627694, 0.019174759848570515, 0.5158311345646438]","[0.07669903939428206, 0.38349519697141027, 0.0, 0.30679615757712825, 0.23009711818284617, 0.6135923151542565]","[0.250954, 0.068442, 0.752862, 0.159698, 0.11407, 0.182512]"
STATE_MOTOR,140578.6820105277,"[0.003834951969714103, 0.04141748127291231, 0.5790777474268295, 0.021475731030398976, 0.020708740636456155, 0.5171503957783641]","[0.23009711818284617, 0.38349519697141027, 0.0, 0.23009711818284617, 0.23009711818284617, 0.30679615757712825]","[0.11407, 0.091256, 0.68442, 0.045628, 0.045628, 0.433466]"
STATE_MOTOR,160660.42002057657,"[0.008436894333371026, 0.04601942363656923, 0.5790777474268295, 0.02454369260617026, 0.020708740636456155, 0.5171503957783641]","[0.23009711818284617, 0.38349519697141027, 0.0, 0.15339807878856412, 0.0, 0.07669903939428206]","[0.433466, 0.068442, 1.049444, 0.022814, 0.022814, 0.205326]"
STATE_MOTOR,180745.3390210867,"[0.013038836697027949, 0.05062136600022616, 0.5790777474268295, 0.02454369260617026, 0.020708740636456155, 0.5151715039577837]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.07669903939428206, 0.0, 0.0]","[0.22814, 0.159698, 1.0722580000000002, 0.11407, 0.091256, 0.68442]"
