type,timestamp,positions
CONTROL,4.649977199733257,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20082.257979083806,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40157.055016607046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60235.33298866823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80305.54000288248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100376.32699823007,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120447.0350057818,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140522.64200290665,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160599.29999755695,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180671.12698918208,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200745.02401985228,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220819.85196564347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240897.62900257483,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260971.33598523214,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,281040.0939779356,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,301110.18096795306,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321182.19800759107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341253.0460045673,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361323.38299648836,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381393.73098965734,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401466.67801309377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421540.3550188057,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441612.8430166282,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461685.0099992007,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481755.37696806714,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501823.5839670524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521898.0619683862,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541971.619008109,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,562048.0760117061,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,582118.3529915288,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,602189.3100114539,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,622260.637988802,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642333.4249993786,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662406.6620133817,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682479.8189918511,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702554.2170158587,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722625.9639719501,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742694.8309876025,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762761.7779653519,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782828.5049763508,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802896.3429969735,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822962.4399682507,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,843031.8869650364,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
