type,timestamp,positions,velocities,torques
STATE_MOTOR,4.649977199733257,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,20082.257979083806,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.82512, 0.0, 0.0, 0.022814]"
STATE_MOTOR,40157.055016607046,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.0, 0.0]"
STATE_MOTOR,60235.33298866823,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.0]"
STATE_MOTOR,80305.54000288248,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,100376.32699823007,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.82512, 0.0, 0.0, 0.0]"
STATE_MOTOR,120447.0350057818,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,140522.64200290665,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,160599.29999755695,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
STATE_MOTOR,180671.12698918208,"[0.005368932757599744, 0.01380582709097077, 0.572941824275287, 0.0, -0.0007669903939428206, 0.503957783641161]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.8023060000000002, 0.0, 0.0, 0.022814]"
