type,timestamp,positions
CONTROL,6.430025678128004,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20098.832028452307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40174.79403410107,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60249.8659864068,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80321.97802094743,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100396.19903545827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120467.95099740848,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140547.5329956971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160630.15500549227,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180703.09603353962,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200776.20801748708,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220851.42001742497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240928.30199515447,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,261003.61300632358,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,281074.10500524566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,301151.4369864017,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321224.7589835897,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341300.4500325769,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361369.2820072174,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381440.9039914608,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401510.9449974261,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421581.0470050201,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441655.9779783711,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461699.5800170116,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481778.5909981467,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501862.72303108126,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521932.4339996092,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,542013.0959828384,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,562087.4370215461,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,582163.5390166193,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
