type,timestamp,positions
CONTROL,6.0400343500077724,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20096.57403687015,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40171.82701500133,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60244.040039833635,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80312.53301305696,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100383.90604313463,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120451.48899778724,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140522.67203805968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160591.46501356736,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180659.64803099632,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200729.39101373777,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220798.56402706355,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240867.52702714875,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260936.92000722513,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,281005.25302579626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,301046.8970169313,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321116.37003254145,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341186.14299222827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361256.03603431955,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381328.12903495505,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401398.5519995913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421469.4949914701,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441538.7880289927,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461606.2210407108,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481675.90401135385,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501744.61700953543,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521812.5400133431,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541880.692995619,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561950.2260233276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,582019.500026945,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,602046.6720219702,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,622115.0660421699,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642182.0080140606,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662249.0820009261,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682318.9950082451,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702385.6270243414,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722457.6900480315,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742526.9930390641,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762594.1560254432,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782661.6890379228,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802730.2820119075,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822801.0649909265,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842871.8179930001,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862941.8510245159,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,883010.983990971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,903044.5270473137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,923115.7200410962,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,943184.4429927878,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,963252.536021173,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983321.6390106827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003391.9110428542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023475.2340475097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043544.867017772,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063613.7700057589,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083680.0929973833,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103746.6659909114,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123813.3090082556,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143888.671998866,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163959.0850099921,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1184025.4380367696,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1204044.081037864,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1224112.2940322384,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1244183.3770135418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1264256.1300308444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1284327.0930461586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304401.0660378262,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324478.3980189823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344555.3010096774,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364630.7740127668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384703.74699682,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404783.75001112,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424857.3430231772,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444928.3060384914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464997.099013999,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1485064.3720128573,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1505135.515006259,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1525205.978017766,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
