type,timestamp,positions,velocities,torques
STATE_MOTOR,6.0400343500077724,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,20096.57403687015,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.045628, 0.0]"
STATE_MOTOR,40171.82701500133,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60244.040039833635,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.091256, 1.847934, 0.0, 0.045628, 0.0]"
STATE_MOTOR,80312.53301305696,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.091256, 1.82512, 0.0, 0.045628, 0.0]"
STATE_MOTOR,100383.90604313463,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120451.48899778724,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.068442, 1.82512, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140522.67203805968,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160591.46501356736,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.82512, 0.0, 0.0, 0.0]"
STATE_MOTOR,180659.64803099632,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.068442, 1.847934, 0.0, 0.022814, 0.0]"
STATE_MOTOR,200729.39101373777,"[-0.006902913545485385, 0.01380582709097077, 0.5760097858510582, 0.0, 0.006902913545485385, 0.5026385224274407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.091256, 1.847934, 0.0, 0.022814, 0.0]"
